NUM,COMPANY_NAME,CEO,VENTURE_TYPE,LOCATION,TYPE,TYPE_DETAIL,VENTURE_START_DATE,VENTURE_END_DATE
1,한솔농산,이**,혁신성장유형,강원,제조업,기타 과실ㆍ채소 가공 및 저장 처리업,20260331,20290330
2,(주)올곧,최**,혁신성장유형,경북,제조업,냉동식품,20260331,20290330
3,(주)나이스글로벌,이**,혁신성장유형,경북,제조업,"이동식주택,이동식화장실",20260331,20290330
4,주식회사 코스모크,장**,연구개발유형,경기,제조업,반도체 장비,20260331,20290330
5,영동식품 주식회사,"강**,조**",혁신성장유형,서울,제조업,빵류,20260331,20290330
6,비바네이처,배**,혁신성장유형,경기,"농,어,임,광업",화훼종자 ,20260331,20290330
7,주식회사 메이드라이프랩,김**,혁신성장유형,경기,제조업,개인용 전기사우나기기,20260331,20290330
8,엘엑스엔비 주식회사,김**,혁신성장유형,제주,제조업,인테리어가구 주방가구 ,20260331,20290330
9,주식회사 이엔에프시스템,오**,혁신성장유형,경기,연구개발서비스,하베스팅 에너지를 활용한 산업안전 장치,20260331,20290330
10,주식획사 아리프,김**,혁신성장유형,전남,"농,어,임,광업","수정란 생산, 연구, 이식, 판매, 축산업 컨설팅",20260331,20290330
11,주식회사 원천,지**,혁신성장유형,강원,제조업,"디자인울타리,합성목재,버스승강장,푼툰등",20260331,20290330
12,(주)아이템,김**,혁신성장유형,광주,제조업,"스포츠 용품 제조업, 위탁생산 제조업",20260331,20290330
13,유티유씨에너지솔루션 주식회사,김**,혁신성장유형,충남,제조업,반도체소재 부품 및 이차전지 방열소재,20260331,20290330
14,주식회사 이테크,장**,연구개발유형,인천,제조업,"미용헬스기기개발  살균방역소독기  정밀금형.기구설계, 살균모듈, 소프트웨어 및 전자부품 설계개발",20260331,20290330
15,주식회사 스타툴즈,조**,혁신성장유형,경기,제조업,행사용 툴 / 광고 매체 / 무인 포토 기계 등 ,20260331,20290330
16,유한회사 씨엔텍,"이**,윤**",혁신성장유형,전남,건설운수,"CCTV조사,공기압,수밀,연막시험,상하수도 비굴착보수",20260331,20290330
17,주식회사 락로보틱스,노**,혁신성장유형,전북,제조업,드론 제조업,20260331,20290330
18,주식회사 필엔,이**,혁신성장유형,경기,제조업,조경시설물,20260331,20290330
19,주식회사 비에프앤코,최**,벤처투자유형,서울,도소매업,"반려용품,캐릭터 제작 및 굿즈사업 전자상거래업 강아지,고양이 건기식",20260331,20290330
20,어업회사법인 주식회사 해풍수산,김**,혁신성장유형,전남,"농,어,임,광업",굴양식 어업활동에 필요한 자재의 생산 및 공급업,20260331,20290330
21,주식회사 우리마을유니티,변**,혁신성장유형,경기,도소매업,프랜차이즈 경영 컨설팅업,20260331,20290330
22,주식회사 엘오테크,김**,혁신성장유형,경기,제조업,반도체 증착 장비 및 부품,20260331,20290330
23,(주)비케이텍,김**,혁신성장유형,경기,도소매업,"핸드폰부품 도소매,개발/무역",20260331,20290330
24,주식회사 퀀텀팩토리,류**,혁신성장유형,광주,제조업,"자동차 관련 약품, 기계공구",20260331,20290330
25,오아시스 광학,"이**,위**",혁신성장유형,경기,제조업,레이저 광학 부품 제조,20260331,20290330
26,내튤리드 주식회사,강**,혁신성장유형,경기,제조업,화장품,20260331,20290330
27,주식회사 록키스,정**,혁신성장유형,서울,제조업,화장품,20260331,20290330
28,(주) 수도그룹,김**,혁신성장유형,부산,제조업,의료기기,20260331,20290330
29,주식회사 제이인터네셔널,서**,혁신성장유형,경기,도소매업,애견용품,20260331,20290330
30,주식회사 에코모션,조**,혁신성장유형,전남,제조업,"HVPS, 스마트제어판넬, 플라즈마 AOP, AST, AI 기반 AST 설계 자동화 프로그램",20260331,20290330
31,주식회사 위시빌더,김**,연구개발유형,서울,제조업,"융복합무기응집수처리제(퓨어위시), 이동식모듈형수처리시스템(위시웰)",20260331,20290330
32,주식회사 브릿지팩트에프앤비,김**,벤처투자유형,경기,제조업,베이커리 즉석판매제조가공업,20260331,20290330
33,주식회사 브레드45에프앤비,정**,혁신성장유형,경남,제조업,베이커리,20260331,20290330
34,주식회사 팀드리븐,안**,벤처투자유형,서울,도소매업,식품 등 소비재 브랜드 상품 ,20260331,20290330
35,다른오름농업회사법인주식회사,김**,혁신성장유형,전북,제조업,"탁주, 약주, 기타주류",20260331,20290330
36,주식회사 푸드스팟,장**,혁신성장유형,서울,도소매업,프랜차이즈,20260331,20290330
37,주식회사 퓨처리스텍,신**,벤처투자유형,인천,제조업,링마우스,20260331,20290330
38,주식회사 케이브레이커,최**,혁신성장유형,경북,제조업,유압브레이커,20260331,20290330
39,뮤니쿤트(MUNIKUND),허**,혁신성장유형,서울,제조업,반려견 기능성 의류 및 용품,20260331,20290330
40,주식회사 씨드라이브코퍼레이션,여**,벤처투자유형,서울,도소매업,뷰티,20260331,20290330
41,차이나황,황**,혁신성장유형,인천,도소매업,"전자상거래, 생활용품, 전자제품",20260331,20290330
42,키토케토 주식회사(KITOKETO INC.),박**,혁신성장유형,경기,제조업,"다이어트 혈당 건강식품 (다크MCT초콜릿, 피넛MCT크런치, 제로떡볶이, 제로쫄면, 투투컷, 혈당컷타임)",20260331,20290330
43,이씨아이 주식회사,이**,벤처투자유형,충남,제조업,자동차 디스플레이 모듈 제조,20260331,20290330
44,주식회사 그룹짓다,김**,벤처투자유형,대전,제조업,코딩 교육 교구,20260331,20290330
45,주식회사 디아이큐,윤**,혁신성장유형,부산,제조업,치과용 의료기기,20260331,20290330
46,주식회사 그린망고,유**,혁신성장유형,충남,제조업,안드로이드 미니 키오스크,20260325,20290324
47,주식회사 세미솔,전**,혁신성장유형,경기,제조업,"CDS(Chemical Delivery System), Robot 등",20260325,20290324
48,주식회사선도기술,김**,혁신성장유형,경남,제조업,밸브실,20260325,20290324
49,주식회사 시그테코,허**,혁신성장유형,충북,제조업,폴리우레탄 반응성 접착제,20260325,20290324
50,주식회사 메디코니,박**,혁신성장유형,경기,제조업,다기능 지혈대,20260325,20290324
51,주식회사 에프에스2 (FS2 Inc.),"김**,배**",연구개발유형,서울,제조업,2차원 반도체 및 3차원 반도체 집적 기술,20260325,20290324
52,주식회사 펑,"전**,김**",혁신성장유형,강원,제조업,전동서핑보드,20260325,20290324
53,(주)석원정보통신,전**,혁신성장유형,인천,건설운수,"무선통신보조설비, 통합배선, CCTV전문업체, 스노우멜팅공사, FM및DMB 외",20260325,20290324
54,대신파트너스 주식회사,한**,혁신성장유형,서울,제조업,자동제어공학 기술서비스,20260325,20290324
55,에스디솔루션 주식회사,한**,혁신성장유형,경남,제조업,가로등주,20260325,20290324
56,주식회사 에스와이피아트스페이스,박**,혁신성장유형,서울,건설운수,"건축미술품,공공미술 설치,조경 시설물,상진조형물,경관조형물",20260325,20290324
57,(주)홍시궁,유**,벤처투자유형,전북,제조업,"떡,빵,과자 제조,도매/가공식품,커피,차 도매,전자상거래",20260325,20290324
58,주식회사 신우테크코리아,박**,혁신성장유형,경기,제조업,"밥솥케이스, 비데케이스",20260325,20290324
59,우분트디자인,송**,혁신성장유형,서울,제조업,아크릴 진열장,20260325,20290324
60,주식회사 조인트솔루션,이**,혁신성장유형,경기,제조업,턱관절운동장치,20260325,20290324
61,지니더바틀(주),조**,혁신성장유형,서울,제조업,"샴푸, 로션",20260325,20290324
62,주식회사 비케이테크(BK tech),김**,혁신성장유형,전북,제조업,"도장,습식,방수,석공사업",20260325,20290324
63,피지 솔루션,"구**,윤**",혁신성장유형,경남,제조업,항공엔진.산업기계부품. 자동차부품,20260325,20290324
64,주식회사 태강이앤씨,조**,혁신성장유형,충북,건설운수,공조 시스템 관련 덕트 등 부속,20260325,20290324
65,위하다글로벌(주),차**,혁신성장유형,서울,제조업,건강기능식품,20260325,20290324
66,주식회사 태바콘크리트,김**,혁신성장유형,경기,제조업,콘크리트패널,20260325,20290324
67,주식회사 더자란,"임**,왕**",혁신성장유형,경기,제조업,수경재배기,20260325,20290324
68,주식회사 닥터블룸,양**,혁신성장유형,인천,제조업,"식품, 건강기능식품 oem 생산 제조업, 레시피 개발,",20260325,20290324
69,(주)에이아이엠엔지니어링,서**,혁신성장유형,경기,제조업,반도체 Test Handler,20260325,20290324
70,주식회사 금강환경,김**,혁신성장유형,전북,제조업,"FRP 개인하수처리시설, 고효율 접촉여재",20260325,20290324
71,텍시스 주식회사,박**,혁신성장유형,경기,제조업,시험측정기기,20260325,20290324
72,와이피알이엠티 주식회사,류**,혁신성장유형,경기,제조업,전기자동차용 구동모터 외,20260325,20290324
73,부성산업기술 주식회사,이**,혁신성장유형,서울,건설운수,"콘크리트 및 철근 공사업,맨홀인상 및 비굴착 보수공사, 수압시험 공기압시험(검사),상하수도 설비공사업, 상하수관 CCTV조사업 및 하수관준설업,상하수도 기자",20260325,20290324
74,주식회사 더프로와이즈,김**,혁신성장유형,충북,제조업,ess저장장치 및 소화약제 제조,20260325,20290324
75,주식회사 엘리온메디,"김**,김**",벤처투자유형,경기,제조업,한의학 전용 체외충격파 치료 장비,20260325,20290324
76,주식회사 켈리디자인,김**,혁신성장유형,경기,건설운수,실내 인테리어,20260325,20290324
77,(주)한신엠텍,윤**,혁신성장유형,부산,제조업,"선바이저 스프링, 인서트 와이어, Shaft류",20260325,20290324
78,코레온(COREON),이**,혁신성장유형,인천,제조업,특허기반 중대재해 통합 안전 솔루션,20260325,20290324
79,케이바이오게이트웨이 주식회사,조**,벤처투자유형,충남,제조업,컨설팅업 및 도소매업,20260325,20290324
80,주식회사 닥터그레인,한**,벤처투자유형,경기,제조업,"곡물가공식품 및 농산물 유통,판매",20260325,20290324
81,(주)커스텀팩키지,천**,벤처투자유형,경기,제조업,종이상자,20260325,20290324
82,(주)그린캐치,공**,벤처투자유형,경기,제조업,"낚시 및 수렵용구, 낚시용품 제조",20260325,20290324
83,주식회사 네이처인,김**,혁신성장유형,경기,제조업,펫푸드,20260324,20290323
84,주식회사 어시스타(ASSISTAR),이**,혁신성장유형,인천,제조업,"디지털헬스머신, 자동화운동기기, 로봇 이용 스포츠 서비스, 로봇용 S/W 개발 및 공급",20260324,20290323
85,(주)넥스벨바이오텍,김**,연구개발유형,충북,제조업,스킨부스터 외,20260324,20290323
86,주식회사 알지에이아이엔씨,김**,연구개발유형,서울,연구개발서비스,AI 및 로보틱스 기술 기반 사족보행 로봇 연구 · 개발,20260324,20290323
87,더닿음,김**,혁신성장유형,경기,제조업,화장품,20260324,20290323
88,주식회사 일정문구,김**,혁신성장유형,서울,도소매업,캐릭터 문구류,20260324,20290323
89,주식회사 디에스테크노,신**,혁신성장유형,경기,제조업,감속기,20260324,20290323
90,브레멘 F&B,"김**,이**",혁신성장유형,경기,제조업,곱대창전골,20260324,20290323
91,주식회사 윤성앤홈,유**,혁신성장유형,경기,건설운수,주거용 건물건설업,20260324,20290323
92,주식회사 무한에너지,권**,혁신성장유형,경기,제조업,태양광 시스템 발전소,20260324,20290323
93,주식회사 삼성종합건설,"김**,백**",혁신성장유형,전북,건설운수,건축공사 및 안전 서비스 시스템,20260324,20290323
94,주식회사 케이에스 에벤에셀 어업회사법인,"손**,강**",벤처투자유형,충남,"농,어,임,광업",수산물 부화 및 수산종자 생산업,20260324,20290323
95,주식회사 아이콘링크,박**,혁신성장유형,경기,도소매업,"저속노화 식품, 건강식품, 뻥튀기,캔디,카라멜, 전통과자 ",20260324,20290323
96,주식회사 케이에스 마린바이오텍,"손**,강**",벤처투자유형,충남,제조업,"PN, PDRN",20260324,20290323
97,주식회사 조광테크,조**,혁신성장유형,경남,제조업,폴리스티렌 발포 성형제품 제조업,20260324,20290323
98,주식회사 세라썸,김**,혁신성장유형,경기,연구개발서비스,세라믹 재료,20260324,20290323
99,주식회사 유제이플러스,김**,혁신성장유형,제주,제조업,"감귤칩, 그레놀라",20260324,20290323
100,주식회사 해솔,이**,혁신성장유형,경기,제조업,무인단속카메라함체 금속가공품,20260324,20290323
101,주식회사 스마트플로텍,이**,혁신성장유형,충북,제조업,폴리우레아 수지 제조 및 방수 공사,20260324,20290323
102,주식회사 액시온베스트,서**,벤처투자유형,대구,도소매업,기관용 금융상품 투자,20260324,20290323
103,농업회사법인 한둘푸드 주식회사(지점),"신**,이**",혁신성장유형,인천,제조업,두부로 만든면,20260324,20290323
104,주식회사 아이넥스,장**,혁신성장유형,경북,제조업,영상감시장치 외,20260324,20290323
105,주식회사 삼흥,"유**,김**",혁신성장유형,경기,제조업,"배전반, 분전반 기타 기계 케이스, 기계 부품",20260324,20290323
106,주식회사 제이피무역,김**,벤처투자유형,경기,도소매업,콘크리트펌프카부품제조업,20260324,20290323
107,농업회사법인주식회사한울,이**,혁신성장유형,충남,제조업,구운계란,20260324,20290323
108,주식회사 브이나인,이**,벤처투자유형,서울,도소매업,금융 IT 서비스 시스템,20260324,20290323
109,주식회사 메지온,박**,벤처투자유형,서울,연구개발서비스,"사료/ 발기부전증치료제, 폰탄치료제등연구개발",20260324,20290323
110,주식회사 디앤에스산업,차**,혁신성장유형,경기,제조업,"소변기 감지기 ,센서 ",20260324,20290323
111,주식회사 루멘룩스,임**,혁신성장유형,경기,제조업,LED BAR 모듈 램프 SMPS,20260324,20290323
112,(주)바오밥케어,김**,혁신성장유형,충북,제조업,어린이 층간소음 방지매트,20260324,20290323
