연번,업체명,이메일 주소,대표자(익명),벤처확인유형,지역,간략주소,업종분류(기보),업종명(11차),주생산품,벤처유효시작일,벤처유효종료일,벤처확인기관,신규/재확인
1,한솔농산,,이**,혁신성장유형,강원,강원 원주시,제조업,기타 과실ㆍ채소 가공 및 저장 처리업,기타 과실ㆍ채소 가공 및 저장 처리업,20260331,20290330,벤처기업확인기관,신규
2,주식회사 브레인에코,,김**,혁신성장유형,서울,서울특별시 송파구,정보처리S/W,응용 소프트웨어 개발 및 공급업,"인공지능 헬스케어 서비스, 빅데이터 분석 서비스, 응용소프트웨어 개발",20260331,20290330,벤처기업확인기관,신규
3,(주)올곧,sales@allgot.co.kr,최**,혁신성장유형,경북,경상북도 구미시,제조업,도시락류 제조업,냉동식품,20260331,20290330,벤처기업확인기관,신규
4,(주)나이스글로벌,,이**,혁신성장유형,경북,경상북도 봉화군,제조업,기타 구조용 금속제품 제조업,"이동식주택,이동식화장실",20260331,20290330,벤처기업확인기관,신규
5,주식회사 세이브네트웍스,biz@svnw.co.kr,박**,혁신성장유형,경기,경기도 성남시,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"시스템소프트웨어 개발,공급,컴퓨터시스템통합 자문,구축/장비 임대/전산장비 도소매",20260331,20290330,벤처기업확인기관,신규
6,주식회사 규원즈,kyuwonz.company@gmail.com,박**,혁신성장유형,서울,서울특별시 마포구,정보처리S/W,시스템 소프트웨어 개발 및 공급업,"인터넷 및 모바일 응용 소프트웨어, 반려동물 용품 제조업",20260331,20290330,벤처기업확인기관,신규
7,주식회사 코스모크,,장**,연구개발유형,경기,경기도 안산시,제조업,반도체 제조용 기계 제조업,반도체 장비,20260331,20290330,벤처기업확인기관,신규
8,영동식품 주식회사,ydfood@ydfood.co.kr,"강**,조**",혁신성장유형,서울,서울특별시 서대문구,제조업,빵류 제조업,빵류,20260331,20290330,벤처기업확인기관,신규
9,비바네이처,,배**,혁신성장유형,경기,경기도 용인시,"농,어,임,광업","채소, 화훼 및 과실작물 시설 재배업",화훼종자 ,20260331,20290330,벤처기업확인기관,신규
10,주식회사 메이드라이프랩,,김**,혁신성장유형,경기,경기도 양주시,제조업,기타 가정용 전기기기 제조업,개인용 전기사우나기기,20260331,20290330,벤처기업확인기관,신규
11,엘엑스엔비 주식회사,assi@lxn.co.kr,김**,혁신성장유형,제주,제주특별자치도 제주시,제조업,기타 목재가구 제조업,인테리어가구 주방가구 ,20260331,20290330,벤처기업확인기관,신규
12,주식회사 이엔에프시스템,,오**,혁신성장유형,경기,경기도 시흥시,연구개발서비스,전기ㆍ전자공학 연구개발업,하베스팅 에너지를 활용한 산업안전 장치,20260331,20290330,벤처기업확인기관,신규
13,주식획사 아리프,aleaf@wsleports.com ,김**,혁신성장유형,전남,전라남도 나주시,"농,어,임,광업",그 외 기타 축산업,"수정란 생산, 연구, 이식, 판매, 축산업 컨설팅",20260331,20290330,벤처기업확인기관,신규
14,주식회사 원천,wcc7677@kakao.com,지**,혁신성장유형,강원,강원특별자치도 화천군,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,"디자인울타리,합성목재,버스승강장,푼툰등",20260331,20290330,벤처기업확인기관,신규
15,(주)아이템,,김**,혁신성장유형,광주,광주광역시 서구,제조업,기타 운동 및 경기용구 제조업,"스포츠 용품 제조업, 위탁생산 제조업",20260331,20290330,벤처기업확인기관,신규
16,주식회사 더데이지,,박**,혁신성장유형,서울,서울특별시 영등포구,정보처리S/W,데이터베이스 및 온라인정보 제공업,"소프트웨어/솔루션 판매, 컨설팅",20260331,20290330,벤처기업확인기관,신규
17,유티유씨에너지솔루션 주식회사,,김**,혁신성장유형,충남,충청남도 천안시,제조업,기타 이차전지 제조업,반도체소재 부품 및 이차전지 방열소재,20260331,20290330,벤처기업확인기관,신규
18,주식회사 이테크,,장**,연구개발유형,인천,인천광역시 부평구,제조업,그 외 기타 전자부품 제조업,"미용헬스기기개발  살균방역소독기  정밀금형.기구설계, 살균모듈, 소프트웨어 및 전자부품 설계개발",20260331,20290330,벤처기업확인기관,신규
19,주식회사 스타툴즈,startoolz@naver.com ,조**,혁신성장유형,경기,경기도 하남시,제조업,그 외 기타 달리 분류되지 않은 제품 제조업,행사용 툴 / 광고 매체 / 무인 포토 기계 등 ,20260331,20290330,벤처기업확인기관,신규
20,주식회사 락로보틱스,nnnsssyyy@hanmail.net,노**,혁신성장유형,전북,전북특별자치도 전주시,제조업,무인 항공기 및 무인 비행장치 제조업,드론 제조업,20260331,20290330,벤처기업확인기관,신규
21,주식회사 필엔, feeln01076@naver.com,이**,혁신성장유형,경기,경기도 포천시,제조업,그 외 기타 나무제품 제조업,조경시설물,20260331,20290330,벤처기업확인기관,신규
22,어업회사법인 주식회사 해풍수산,,김**,혁신성장유형,전남,전라남도 여수시,"농,어,임,광업",해수면 양식 어업,굴양식 어업활동에 필요한 자재의 생산 및 공급업,20260331,20290330,벤처기업확인기관,신규
23,주식회사 엘오테크,,김**,혁신성장유형,경기,경기도 광명시,제조업,반도체 제조용 기계 제조업,반도체 증착 장비 및 부품,20260331,20290330,벤처기업확인기관,신규
24,주식회사 퀀텀팩토리,info@quantumfactory.kr,류**,혁신성장유형,광주,광주광역시 북구,제조업,그 외 기타 분류 안된 화학제품 제조업,"자동차 관련 약품, 기계공구",20260331,20290330,벤처기업확인기관,신규
25,오아시스 광학, sales@oasisoptics.co.kr,"이**,위**",혁신성장유형,경기,경기도 화성시,제조업,"사진기, 영사기 및 관련 장비 제조업 ",레이저 광학 부품 제조,20260331,20290330,벤처기업확인기관,신규
26,내튤리드 주식회사,hi@natulid.com,강**,혁신성장유형,경기,경기도 성남시,제조업,화장품 제조업,화장품,20260331,20290330,벤처기업확인기관,신규
27,주식회사 록키스,,정**,혁신성장유형,서울,서울특별시 송파구,제조업,화장품 제조업,화장품,20260331,20290330,벤처기업확인기관,신규
